# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
17790	82.0	(thatch) roof	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	Timor	dou thɛ		nan		d o u _ th ɛ
18375	82.0	(thatch) roof	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	iko'rima hava 'vei		nan		i k o ˈr i m a _ h a v a _ ˈv e i
18957	82.0	(thatch) roof	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	wai		1		w a i
19386	82.0	(thatch) roof	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	kaha:ak		nan		k a h aː a k
20561	82.0	(thatch) roof	fata1247	Fataluku	Timor-Alor-Pantar	Timor	ihula		nan		i h u l a
21168	82.0	(thatch) roof	sawi1256	Sawila	Timor-Alor-Pantar	Alor	subə li		nan		s u b ə _ l i
21755	82.0	(thatch) roof	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	kaha:ak		nan		k a h aː a k
22357	82.0	(thatch) roof	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	naˈkər		nan		n a ˈk ə r
22358	82.0	(thatch) roof	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	uˈvuŋ		nan		u ˈv u ŋ
23903	82.0	(thatch) roof	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	naˈkər		nan		n a ˈk ə r
23904	82.0	(thatch) roof	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	uˈvuŋ		nan		u ˈv u ŋ
24636	82.0	(thatch) roof	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	'wäj		nan		ˈw ä j
24637	82.0	(thatch) roof	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	wai		nan		w a i
25792	82.0	(thatch) roof	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	Timor	dou thɛ		nan		d o u _ th ɛ
26375	82.0	(thatch) roof	keda1252	Kedang	Austronesian	Lembata	nɛ'hiŋ		2		n ɛ ˈh i ŋ
27495	82.0	(thatch) roof	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈnakɜ		2		ˈn a k ɜ
28080	82.0	(thatch) roof	maka1316	Makasae	Timor-Alor-Pantar	Timor	gifu		nan		g i f u
#
202	207.0	1pl excl	keda1252	Kedang	Austronesian	Lembata	keː		a		k eː
789	207.0	1pl excl	kelo1247	Klon	Timor-Alor-Pantar	Alor	nigin		nan		n i g i n
1421	207.0	1pl excl	cent2245-hewa	Hewa	Austronesian	Flores	ʔami		nan		ʔ a m i
1947	207.0	1pl excl	tuku1254	Tokodede	Austronesian	Timor	'kɑmi		nan		ˈk ɑ m i
2326	207.0	1pl excl	adan1251	Adang	Timor-Alor-Pantar	Alor	niri		1		n i r i
2912	207.0	1pl excl	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	kaˈmɛ		a		k a ˈm ɛ
3374	207.0	1pl excl	sika1262	Sika	Austronesian	Flores	ʔami		a		ʔ a m i
8475	207.0	1pl excl	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	ni:ŋ		1		n iː ŋ
8476	207.0	1pl excl	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	niŋ		nan		n i ŋ
8477	207.0	1pl excl	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	ning		1		n i n g
8478	207.0	1pl excl	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	niɁin; ni		1		n i ʔ i n
8479	207.0	1pl excl	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	hot		nan		h o t
8480	207.0	1pl excl	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'nei		nan		ˈn e i
8481	207.0	1pl excl	p-alor1249	proto-AP	Timor-Alor-Pantar		*ni-		nan		n i
16150	207.0	1pl excl	kula1280	Kula	Timor-Alor-Pantar	Alor	igən		nan		i g ə n
16750	207.0	1pl excl	wers1238	Wersing	Timor-Alor-Pantar	Timor	ɲadi		nan		ɲ a d i
17342	207.0	1pl excl	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	kam; kame	nan	nan	nan	k a m
17913	207.0	1pl excl	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	Timor	nei		nan		n e i
18498	207.0	1pl excl	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	piŋ		nan		p i ŋ
19509	207.0	1pl excl	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	ami		nan		a m i
19991	207.0	1pl excl	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	'kame	nan	nan	nan	ˈk a m e
20296	207.0	1pl excl	kema1243	Kemak	Austronesian	Timor	'ʔami		nan		ˈʔ a m i
20690	207.0	1pl excl	fata1247	Fataluku	Timor-Alor-Pantar	Timor	i'niri		nan		i ˈn i r i
21291	207.0	1pl excl	sawi1256	Sawila	Timor-Alor-Pantar	Alor	ninu		nan		n i n u
21878	207.0	1pl excl	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	ami		nan		a m i
22496	207.0	1pl excl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	kam		nan		k a m
22497	207.0	1pl excl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ˈkame		nan		ˈk a m e
23366	207.0	1pl excl	mamb1306	Mambai	Austronesian	Timor	ʔɑm		nan		ʔ ɑ m
23640	207.0	1pl excl	laka1255	Lakalei 	Austronesian	Timor	'ʔami		nan		ˈʔ a m i
24042	207.0	1pl excl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	kam		nan		k a m
24043	207.0	1pl excl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ˈkame		nan		ˈk a m e
24904	207.0	1pl excl	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	'ni.dɔ		nan		ˈn i d ɔ
24905	207.0	1pl excl	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	nido		nan		n i d o
25915	207.0	1pl excl	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	Timor	nei		1		n e i
26497	207.0	1pl excl	keda1252	Kedang	Austronesian	Lembata	keː		a		k eː
26982	207.0	1pl excl	tetu1246	Tetun Dili 	Austronesian	Timor	'ʔami		nan		ˈʔ a m i
27250	207.0	1pl excl	idat1237	Idate	Austronesian	Timor	'ʔami		nan		ˈʔ a m i
27618	207.0	1pl excl	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈkame		a		ˈk a m e
28203	207.0	1pl excl	maka1316	Makasae	Timor-Alor-Pantar	Timor	ini		nan		i n i
#
203	208.0	1pl incl	keda1252	Kedang	Austronesian	Lembata	teː		a		t eː
790	208.0	1pl incl	kelo1247	Klon	Timor-Alor-Pantar	Alor	pin		nan		p i n
1422	208.0	1pl incl	cent2245-hewa	Hewa	Austronesian	Flores	ʔita		nan		ʔ i t a
1948	208.0	1pl incl	tuku1254	Tokodede	Austronesian	Timor	'kiti		nan		ˈk i t i
