language	lang_id	gloss	transcription	translation	comment
Lewotobi	lewo1244	167. Baru 	wuʔũ	new	
Lewotobi	lewo1244	168. Baik 	sarẽ	good	
Lewotobi	lewo1244	169. Jelek	məko	bad	
Lewotobi	lewo1244	170. Betul 	nãdikã	right, correct	
Lewotobi	lewo1244	171. Malam 	nokõ	night	
Lewotobi	lewo1244	172. Tahun 	sũ	year	
Lewotobi	lewo1244	173. Hari 	lərõ	day	
Lewotobi	lewo1244	174. Bilamana 	boʔã	when	
Lewotobi	lewo1244	175. Di 	lau	in 	lau, raeː different inflections?
Lewotobi	lewo1244	176. Dalam 	onã	inside	
Lewotobi	lewo1244	177. Di sini 	pi	here	
Lewotobi	lewo1244	178. Di situ 	pehe	there	
Lewotobi	lewo1244	179. Ini 	teʔẽ	this	
Lewotobi	lewo1244	180. Itu 	teʔẽ	that	
Lewotobi	lewo1244	181. Dekat 	dãhe	near	
Lewotobi	lewo1244	182. Jauh 	dõe	far	
Lewotobi	lewo1244	183. Di mana 	tea	where	
Lewotobi	lewo1244	184. Saya 	go	1SG	
Lewotobi	lewo1244	185. Engkau/ kamu 	mo	2SG;2PL	
Lewotobi	lewo1244	185. Engkau/ kamu 	mio	2SG;2PL	
Lewotobi	lewo1244	186. Dia 	na	3SG	
Lewotobi	lewo1244	187. Kita 	tite	1PL.INC	
Lewotobi	lewo1244	188. Kami 	kame	1PL.EXC	
Lewotobi	lewo1244	189. Mereka 	ra	3PL	
Lewotobi	lewo1244	190. Apa 	a	what	
Lewotobi	lewo1244	191. Siapa 	hege	who	
Lewotobi	lewo1244	192. Lain	gehã	other	
Lewotobi	lewo1244	193. Beberapa 	bopirã	some	
Lewotobi	lewo1244	194. Banyak 	ajã	many	
Lewotobi	lewo1244	195. Sedikit 	kəsə	few	
Lewotobi	lewo1244	196. Semua 	waokãe	all	
Lewotobi	lewo1244	197. Dan 	noʔõ	and	
Lewotobi	lewo1244	198. Dengan	noʔõ	with	
Lewotobi	lewo1244	199. Sebab 	pukã	because	
Lewotobi	lewo1244	200. Jikalau 	kalu	if	
