Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
120.0	cent2245-hewa		bamboo	Hewa	Austronesian	5Flores, 2Central	"No generic word for bambooː
pəri
pətun (biɡ kind of bamboo)
sidu
tewu
wulu (small kind of bamboo)
aur (thin kind of bamboo)"					
121.0	cent2245-hewa	muʔu	banana	Hewa	Austronesian	5Flores, 2Central		m u ʔ - u -	7647.0			
122.0	cent2245-hewa	pau	mango	Hewa	Austronesian	5Flores, 2Central		p a - u -	483.0			
123.0	cent2245-hewa	ʔai dʒaʋan (ʋuan)	papaya	Hewa	Austronesian	5Flores, 2Central		ʔ a i _ dʒ a ʋ a n	9119.0			
124.0	cent2245-hewa	nakat	jackfruit	Hewa	Austronesian	5Flores, 2Central		n a - - k a t	1096.0			
125.0	cent2245-hewa	sukun	breadfruit	Hewa	Austronesian	5Flores, 2Central		s u k u n	5650.0			
126.0	cent2245-hewa	ʋeʋe	bean	Hewa	Austronesian	5Flores, 2Central		ʋ e ʋ e	9075.0			
127.0	cent2245-hewa	ʋani ʋair	honey	Hewa	Austronesian	5Flores, 2Central		ʋ a n i _ ʋ a i r	6846.0			
128.0	cent2245-hewa	susu	milk	Hewa	Austronesian	5Flores, 2Central	uhu 'breast'	s u s - - u -	37.0			
129.0	cent2245-hewa	hini	salt	Hewa	Austronesian	5Flores, 2Central		h i n i	7917.0			
130.0	cent2245-hewa	ʋura	fat	Hewa	Austronesian	5Flores, 2Central	fat/grease	ʋ u r a	9171.0			
131.0	cent2245-hewa	ətan	flesh; meat	Hewa	Austronesian	5Flores, 2Central		- - - ə t a n -	4731.0			
132.0	cent2245-hewa	lurin	bone	Hewa	Austronesian	5Flores, 2Central		l u r i n	6459.0			
133.0	cent2245-hewa	korok	rib	Hewa	Austronesian	5Flores, 2Central		k o r o k	9140.0			
134.0	cent2245-hewa	rəʋu	sweat	Hewa	Austronesian	5Flores, 2Central	this is (also?) a verb	- - r ə ʋ u -	9071.0			
135.0	cent2245-hewa	lu	tear	Hewa	Austronesian	5Flores, 2Central		l u	9049.0			
136.0	cent2245-hewa	mei	blood	Hewa	Austronesian	5Flores, 2Central		- - m e i -	8811.0			
137.0	cent2245-hewa	a:li	tendon	Hewa	Austronesian	5Flores, 2Central		aː l i -	9068.0			
138.0	cent2245-hewa	jantuŋ	heart	Hewa	Austronesian	5Flores, 2Central		j a n t u ŋ	9220.0			
