Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
mu:n	264.0	kelo1247-hopte				
'pɛr	265.0	kelo1247-hopte				
hiʔi 'daŋ	266.0	kelo1247-hopte				
ʔə'daŋ	266.0	kelo1247-hopte				
dəlik'wei	267.0	kelo1247-hopte				
kəko'wak	268.0	kelo1247-hopte				
bəlɛ:l	269.0	kelo1247-hopte				
ʔə'kin	270.0	kelo1247-hopte				
nə'rik	271.0	kelo1247-hopte				
tə'kɛ:t	272.0	kelo1247-hopte				
də'ra:m	273.0	kelo1247-hopte				
nə'wa:k	274.0	kelo1247-hopte				
ʔə'kɔɲ	275.0	kelo1247-hopte				
ʔə'koɲ kʔə'diŋ	276.0	kelo1247-hopte				
ʔə'koɲ 'gɔ:i	277.0	kelo1247-hopte				
'kɔt	278.0	kelo1247-hopte				
kai 'hib	278.0	kelo1247-hopte				
'ʔur	279.0	kelo1247-hopte				
tə'mɛk	280.0	kelo1247-hopte				
'ʔa:l	281.0	kelo1247-hopte				
kə'ni:t	282.0	kelo1247-hopte				
ʔə'wi mə'lɔt	283.0	kelo1247-hopte				
ʔə'wi hə'ba:	284.0	kelo1247-hopte				
kul 'bi:n	285.0	kelo1247-hopte				
ɔl 'ʔat bɔŋ 'hɛb	286.0	kelo1247-hopte				
kə'nuih	287.0	kelo1247-hopte				
'tut	288.0	kelo1247-hopte				
ha'rak	288.0	kelo1247-hopte				
kə'buk	289.0	kelo1247-hopte				
mə'hiŋ	289.0	kelo1247-hopte				
'nɔk	290.0	kelo1247-hopte				
'ja:h	291.0	kelo1247-hopte				
ʔu'mi:	292.0	kelo1247-hopte				
ʔi'kuh	293.0	kelo1247-hopte				
tə'ta:b	294.0	kelo1247-hopte				
'lɛt	295.0	kelo1247-hopte				
ʔi'jɛl	296.0	kelo1247-hopte				
tə'kat	297.0	kelo1247-hopte				
ʔu'pu:r	298.0	kelo1247-hopte				
ʔu'ʔur	302.0	kelo1247-hopte				
'tik	303.0	kelo1247-hopte				
'mɔ:t	304.0	kelo1247-hopte				
tə'pɛh	305.0	kelo1247-hopte				
'kuib	306.0	kelo1247-hopte				
kə'raŋ	307.0	kelo1247-hopte				
bə'lɔk	308.0	kelo1247-hopte				
'mu:k	309.0	kelo1247-hopte				
'nai	310.0	kelo1247-hopte				
mo'hɔl	310.0	kelo1247-hopte				
'maŋ	311.0	kelo1247-hopte				
'kum	312.0	kelo1247-hopte				
tə'kɔr	313.0	kelo1247-hopte				
ʔə'wil	314.0	kelo1247-hopte				
nə'mud	315.0	kelo1247-hopte				
ʔə'rɛ:k	316.0	kelo1247-hopte				
'ih ʔə'bɛ:n	318.0	kelo1247-hopte				
gə'ha:l	319.0	kelo1247-hopte				
ʔə'tɛn 'mai	320.0	kelo1247-hopte				
ʔə'tɛn ʔə'gai	320.0	kelo1247-hopte				
'muɲ ʔə'gai	321.0	kelo1247-hopte				
gə'muɲ ʔə'gai	321.0	kelo1247-hopte				
mə'ka:l	322.0	kelo1247-hopte				
də'ri	323.0	kelo1247-hopte				
ʔə'lu:r	324.0	kelo1247-hopte				
ʔə'tɔ:l	325.0	kelo1247-hopte				
'bu:r	326.0	kelo1247-hopte				
tə'duil	327.0	kelo1247-hopte				
'ʔi ʔə'tak	328.0	kelo1247-hopte				
'ʔa ʔa'ka:n	329.0	kelo1247-hopte				
'ʔa ʔa'ja:l	330.0	kelo1247-hopte				
ki'ki:k	331.0	kelo1247-hopte				
wə'lɛŋ	332.0	kelo1247-hopte				
wə'lɛŋ	333.0	kelo1247-hopte				
bu'gur	334.0	kelo1247-hopte				
kə'lik	335.0	kelo1247-hopte				
eda'dan	336.0	kelo1247-hopte				
nə'mɛn tə'kat	337.0	kelo1247-hopte	1sg prefix			
ne'bɛt ɛ'liŋ	338.0	kelo1247-hopte	1sg prefix			
'gɛ:n 'ja	339.0	kelo1247-hopte				
gə'wir ku'kuih	340.0	kelo1247-hopte				
ne'dan	341.0	kelo1247-hopte				
gihə'la kə'lik	342.0	kelo1247-hopte				
ge'ʔur	343.0	kelo1247-hopte				
mə'gih	344.0	kelo1247-hopte				
muɲ mə'gih	345.0	kelo1247-hopte				
kir'kir	346.0	kelo1247-hopte				
na'gil	347.0	kelo1247-hopte				
'huih	348.0	kelo1247-hopte				
hu'huih	349.0	kelo1247-hopte				
gə'maŋ	350.0	kelo1247-hopte				
'huh	351.0	kelo1247-hopte				
'ta:	352.0	kelo1247-hopte				
'ta: mi'mɔk	353.0	kelo1247-hopte				
'hih me'tih	354.0	kelo1247-hopte				
mə'tih	354.0	kelo1247-hopte				
gə'tiŋ	355.0	kelo1247-hopte	3sg patient prefix			
nə'wɛ:l	356.0	kelo1247-hopte	1sg patient prefix			
'ʔul gə'wɛl	357.0	kelo1247-hopte				
'mih	358.0	kelo1247-hopte				
mə'tih	359.0	kelo1247-hopte				
'lam	360.0	kelo1247-hopte				
tə'kin	361.0	kelo1247-hopte				
gə'ga:i	362.0	kelo1247-hopte				
wə'rɛn	363.0	kelo1247-hopte				
li:r	364.0	kelo1247-hopte				
'muŋ 'hɛr	365.0	kelo1247-hopte				
'bɛɲ	366.0	kelo1247-hopte				
gə'muŋ	367.0	kelo1247-hopte				
'na:	368.0	kelo1247-hopte				
ma'hak	369.0	kelo1247-hopte				
ʔə'da: 'pu:	370.0	kelo1247-hopte				
ʔu'han	371.0	kelo1247-hopte				
ʔu'wɛl	371.0	kelo1247-hopte				
il hə'rɔt	372.0	kelo1247-hopte				
ih 'ɛs	373.0	kelo1247-hopte				
e'kɛn bə'lin	374.0	kelo1247-hopte				
kre'jaŋ	375.0	kelo1247-hopte				
ʔə'bɛ:r	376.0	kelo1247-hopte				
gɛ:n	377.0	kelo1247-hopte				
ma'gɛ:n	377.0	kelo1247-hopte				
u'kɛi u'mur gɔ'kɛi	378.0	kelo1247-hopte				
'ma:	379.0	kelo1247-hopte				
'ʔad	379.0	kelo1247-hopte				
ʔə'gar	380.0	kelo1247-hopte				
'wi:r	381.0	kelo1247-hopte				
'to:ɲ	382.0	kelo1247-hopte				
il pə'nɛn	383.0	kelo1247-hopte				
'pɛ:	384.0	kelo1247-hopte				
'ʔan	384.0	kelo1247-hopte				
'le:b	385.0	kelo1247-hopte				
'le:b	386.0	kelo1247-hopte				
umə'nain	387.0	kelo1247-hopte				
'ʔa:k	388.0	kelo1247-hopte				
mi ʔə'ruih	389.0	kelo1247-hopte				
'pu	390.0	kelo1247-hopte				
mi 'pu	390.0	kelo1247-hopte				
mə'lɛ:r	391.0	kelo1247-hopte				
'ʔiŋ	392.0	kelo1247-hopte				
'ʔɔ:i	393.0	kelo1247-hopte				
gɔ'ʔɔi	393.0	kelo1247-hopte				
kə'bɛr	394.0	kelo1247-hopte				
'ka:k	395.0	kelo1247-hopte				
nə'lɛm	395.0	kelo1247-hopte				
'war	396.0	kelo1247-hopte				
u'war	396.0	kelo1247-hopte				
'kub	397.0	kelo1247-hopte				
gə'bɔŋ	398.0	kelo1247-hopte	3sg patient prefix			
'tɛh	399.0	kelo1247-hopte				
'hɔd	400.0	kelo1247-hopte				
tə'kuɲ	400.0	kelo1247-hopte				
ha'ban	401.0	kelo1247-hopte				
'hɔl	402.0	kelo1247-hopte				
go'wa:i	403.0	kelo1247-hopte				
'tɛk	404.0	kelo1247-hopte				
'tɛɟ	405.0	kelo1247-hopte				
'tɛɟ	406.0	kelo1247-hopte				
tiŋ'gɛ:n	406.0	kelo1247-hopte				
gɛ'bu:k	407.0	kelo1247-hopte				
ʔu'bu:k	407.0	kelo1247-hopte				
'gu:d	408.0	kelo1247-hopte				
'ku:r	409.0	kelo1247-hopte				
tə'be:r	410.0	kelo1247-hopte				
gəlɔ'bei	411.0	kelo1247-hopte				
