Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
'waski	280.0	wers1238-marit				
pe'desi	281.0	wers1238-marit				
mu'ruŋ	282.0	wers1238-marit				
'nakar	283.0	wers1238-marit				
'tpa	284.0	wers1238-marit				
'saku	285.0	wers1238-marit				
sə'per	286.0	wers1238-marit				
da'laŋ	287.0	wers1238-marit				
tu'tuŋ	288.0	wers1238-marit				
'wir	289.0	wers1238-marit				
'kaŋ	290.0	wers1238-marit				
'boli	291.0	wers1238-marit				
a'wɛ:	292.0	wers1238-marit				
tu'tu:	293.0	wers1238-marit				
tə'dap	294.0	wers1238-marit				
'lot	295.0	wers1238-marit				
i'rɛs	296.0	wers1238-marit				
a'ruk	297.0	wers1238-marit				
wu'dile	298.0	wers1238-marit				
'tuk	302.0	wers1238-marit				
me'nis	303.0	wers1238-marit				
'gis 'boli	304.0	wers1238-marit				
'dum	305.0	wers1238-marit				
'kum	306.0	wers1238-marit				
u'diŋ	307.0	wers1238-marit				
də'laŋ	308.0	wers1238-marit				
'makaŋ	309.0	wers1238-marit				
i'nali	310.0	wers1238-marit				
pə'lit	311.0	wers1238-marit				
'pak	312.0	wers1238-marit				
'tur	313.0	wers1238-marit				
a'jakel	314.0	wers1238-marit				
'lɔr	315.0	wers1238-marit				
pə'dakar	316.0	wers1238-marit				
'lɔr	318.0	wers1238-marit				
tə'bɛl	319.0	wers1238-marit				
mə'rɛk	320.0	wers1238-marit				
'boli	321.0	wers1238-marit				
mə'kal	322.0	wers1238-marit				
'malaŋ	323.0	wers1238-marit				
a'kar	324.0	wers1238-marit				
mə'kal	325.0	wers1238-marit				
'trɛsi	326.0	wers1238-marit				
də'lɔk	327.0	wers1238-marit				
a'bɔr siŋ	328.0	wers1238-marit				
a'kɛŋ	329.0	wers1238-marit				
mu'ruk	330.0	wers1238-marit				
'ik	331.0	wers1238-marit				
ɔ'lar	332.0	wers1238-marit				
klɔkul	333.0	wers1238-marit				
ma'rɛk	334.0	wers1238-marit				
'lalaŋ	335.0	wers1238-marit	nai, tai, gai			
tə'ladi	336.0	wers1238-marit				
tə'mei 'ser	337.0	wers1238-marit				
tam'siŋ	338.0	wers1238-marit				
gədir 'boli	339.0	wers1238-marit				
gəwir 'moku	340.0	wers1238-marit				
nau'meŋ	341.0	wers1238-marit				
tə'sɔrɔŋ	342.0	wers1238-marit				
gə'dir	343.0	wers1238-marit				
neta'mɛ:	344.0	wers1238-marit				
le'muiŋ	345.0	wers1238-marit				
ta'lamal	346.0	wers1238-marit				
netə'kaŋ	347.0	wers1238-marit				
'lomu	348.0	wers1238-marit				
'bisar 'maŋar	349.0	wers1238-marit				
gə'ma:	350.0	wers1238-marit				
'lomu	351.0	wers1238-marit				
gə'tai	352.0	wers1238-marit				
gə'tai	353.0	wers1238-marit				
gəsir gə'mit	354.0	wers1238-marit				
gə'teiŋ	355.0	wers1238-marit				
tə'weli	356.0	wers1238-marit				
ira gə'weli	357.0	wers1238-marit				
gə'mit	358.0	wers1238-marit				
gə'tati	359.0	wers1238-marit				
lai 'lɔl	360.0	wers1238-marit				
'bɔrɔng ge'mur	361.0	wers1238-marit				
gə'wai	362.0	wers1238-marit				
'sai	363.0	wers1238-marit				
i'rɛ:	364.0	wers1238-marit				
'taiŋ	365.0	wers1238-marit				
'mɔdo	366.0	wers1238-marit				
'taiŋ	367.0	wers1238-marit				
tə'nai	368.0	wers1238-marit				
tə'pasi	369.0	wers1238-marit				
'mada	370.0	wers1238-marit				
lebə'las	371.0	wers1238-marit				
'sɔr 'burkiŋ	372.0	wers1238-marit				
gə'nir 'kaŋ	373.0	wers1238-marit				
gi'king səsai	374.0	wers1238-marit				
sir'wis gə'pai	375.0	wers1238-marit				
'gapaŋ	376.0	wers1238-marit				
wagə'nir	377.0	wers1238-marit				
'lɛpu	378.0	wers1238-marit				
a'mai	379.0	wers1238-marit				
gəti'jɛr	380.0	wers1238-marit				
'kɔ	381.0	wers1238-marit				
saka'lɛl	382.0	wers1238-marit				
'dra	383.0	wers1238-marit				
'pur mamar 'tak	384.0	wers1238-marit				
a'da le 'wali	385.0	wers1238-marit				
'lus	386.0	wers1238-marit				
le'mam	387.0	wers1238-marit				
a'waki	388.0	wers1238-marit				
mu'dil	389.0	wers1238-marit				
u'sas	390.0	wers1238-marit				
'gwing kə'ra	391.0	wers1238-marit				
i'uri	392.0	wers1238-marit				
'lɛpu	393.0	wers1238-marit				
kə'pir	394.0	wers1238-marit				
i'ruk	395.0	wers1238-marit				
a'tu:	396.0	wers1238-marit				
gə'poiŋ	397.0	wers1238-marit				
gə'poiŋ	398.0	wers1238-marit				
'mikik	399.0	wers1238-marit				
gə'pesi	400.0	wers1238-marit				
koli	401.0	wers1238-marit				
kə'deli	402.0	wers1238-marit				
bə'kar	403.0	wers1238-marit				
su'wai	404.0	wers1238-marit				
su'wai	405.0	wers1238-marit				
takɔ'wai	406.0	wers1238-marit				
le'gadar	407.0	wers1238-marit				
'wɔkɔr	408.0	wers1238-marit				
'lau	409.0	wers1238-marit				
gəpai 'gapaŋ	410.0	wers1238-marit				
mi'lakal	411.0	wers1238-marit				
gə'tɛr	412.0	wers1238-marit				
le'wɛna	413.0	wers1238-marit				
'tei	414.0	wers1238-marit				
a'rɛiŋ	415.0	wers1238-marit				
'wɛkel	416.0	wers1238-marit				
'seli	417.0	wers1238-marit				
'kasal	418.0	wers1238-marit				
'wiŋ	419.0	wers1238-marit				
'lɛkoi	420.0	wers1238-marit				
tə'lali	421.0	wers1238-marit				
letə'mekeŋ	422.0	wers1238-marit				
gə'bɔk	423.0	wers1238-marit				
gə'wari	424.0	wers1238-marit				
wɔr 'nai	425.0	wers1238-marit				
lu'kuk	426.0	wers1238-marit				
a'kɔ	427.0	wers1238-marit				
mia'lam	428.0	wers1238-marit				
'kur	429.0	wers1238-marit				
a'rɛsi	430.0	wers1238-marit				
a'li	431.0	wers1238-marit				
'wai	432.0	wers1238-marit				
tə'kau	433.0	wers1238-marit				
'lak	434.0	wers1238-marit				
'lɛter	435.0	wers1238-marit				
ti'midi	436.0	wers1238-marit				
tə'wiŋ	437.0	wers1238-marit				
le'gadar	438.0	wers1238-marit				
'pɔdo	439.0	wers1238-marit				
'tuluŋ	440.0	wers1238-marit				
a'loi	441.0	wers1238-marit				
legə'taiŋ	442.0	wers1238-marit				
legə'taiŋ	443.0	wers1238-marit				
'ta:	444.0	wers1238-marit				
gə'puiŋ	445.0	wers1238-marit				
'lɛkuri	446.0	wers1238-marit				
lu'bura	447.0	wers1238-marit				
le'sebi	448.0	wers1238-marit				
gə'leki	449.0	wers1238-marit				
'nɔ	450.0	wers1238-marit				
'joku	451.0	wers1238-marit				
'tu	452.0	wers1238-marit				
a'raso'ku	453.0	wers1238-marit				
'wetiŋ	454.0	wers1238-marit				
tə'lam	455.0	wers1238-marit				
wetiŋ 'joku	456.0	wers1238-marit				
wetiŋ 'tu:	457.0	wers1238-marit				
wetiŋ a'rasoku	458.0	wers1238-marit				
ad 'jok	459.0	wers1238-marit				
ad 'jok gresiŋ 'nɔ	460.0	wers1238-marit				
ad 'jok gresiŋ 'joku	461.0	wers1238-marit				
ad 'jok gresiŋ 'tu	462.0	wers1238-marit				
ad 'jok gresiŋ a'rasok	463.0	wers1238-marit				
ad 'jok gresiŋ 'wetiŋ	464.0	wers1238-marit				
ad 'jok gresiŋ tə'lam	465.0	wers1238-marit	ad jok gresiŋ wetiŋ nɔ			
ad 'jok gresiŋ wetiŋ 'joku	466.0	wers1238-marit				
ad 'jok gresiŋ wetiŋ 'tu	467.0	wers1238-marit				
ad 'jok gresiŋ wetiŋ a'rasok	468.0	wers1238-marit				
ad 'jok mi 'jok	469.0	wers1238-marit				
ad 'jok mi 'joku gresiŋ 'nɔ	470.0	wers1238-marit				
ad 'jok mi 'joku gresiŋ 'joku	471.0	wers1238-marit				
ad 'jok mi 'joku gresiŋ 'tu	472.0	wers1238-marit				
ad 'jok mi 'joku gresiŋ ara'sok	473.0	wers1238-marit				
ad 'jok mi 'joku gresiŋ 'wetiŋ	474.0	wers1238-marit				
ad 'jok mi 'tu	475.0	wers1238-marit				
ad 'jok mi a'rasok	476.0	wers1238-marit				
ad 'jok mi we'tiŋ	477.0	wers1238-marit				
ad 'jok mi tə'lam	478.0	wers1238-marit				
ad 'jok mi wetiŋ 'joku	479.0	wers1238-marit				
ad 'jok mi wetiŋ 'tu	480.0	wers1238-marit				
ad 'jok mi weting ara'sok	481.0	wers1238-marit				
as'ka 'nɔ	482.0	wers1238-marit				
as'ka nɔ ad 'joku mi 'joku gresing 'tu	483.0	wers1238-marit				
as'ka 'joku	484.0	wers1238-marit				
ribu 'nɔ	485.0	wers1238-marit				
ribu aska'nɔ	486.0	wers1238-marit				
ne'tamu	487.0	wers1238-marit				
ne'nakar	488.0	wers1238-marit				
ne'tamu	489.0	wers1238-marit				
ne'par	490.0	wers1238-marit				
nɔl 'deiŋ	491.0	wers1238-marit				
nə'naŋ li'mi	492.0	wers1238-marit				
nə'naŋ 'mei	493.0	wers1238-marit				
na'rudi 'mei	494.0	wers1238-marit				
'nɔl 'deiŋ	495.0	wers1238-marit				
'neja u'lik	496.0	wers1238-marit				
ne'kaku	497.0	wers1238-marit				
na'rudi	498.0	wers1238-marit				
'nebɛŋ	499.0	wers1238-marit				
'gasal	500.0	wers1238-marit				
'neja	501.0	wers1238-marit				
'abu ku'maŋ	502.0	wers1238-marit				
kə'dil a'jaŋ	503.0	wers1238-marit				
'sar	504.0	wers1238-marit				
pur də'laŋ	505.0	wers1238-marit				
'lɔl	506.0	wers1238-marit				
'kapas	507.0	wers1238-marit				
'lante	508.0	wers1238-marit				
a'beli	509.0	wers1238-marit				
'ʤɛndɛl	510.0	wers1238-marit				
'dapur	511.0	wers1238-marit				
tetai le'wɛŋ	512.0	wers1238-marit				
'kander	513.0	wers1238-marit				
'lampur	514.0	wers1238-marit				
du'paiŋ	515.0	wers1238-marit				
keŋ'wɔd	516.0	wers1238-marit				
'badu	517.0	wers1238-marit				
'pupu	518.0	wers1238-marit				
mə'lauŋ	519.0	wers1238-marit				
dɛk lə'mukul	520.0	wers1238-marit				
mei 'kɛŋ	521.0	wers1238-marit				
tas'lil	522.0	wers1238-marit				
kubuli'kɔ	523.0	wers1238-marit				
sam'bai	524.0	wers1238-marit				
i'nali	525.0	wers1238-marit				
berkat 'medi	526.0	wers1238-marit				
latal	527.0	wers1238-marit				
sam'bai	528.0	wers1238-marit				
'putu	529.0	wers1238-marit				
gəwa 'mur	531.0	wers1238-marit				
pan'dit	532.0	wers1238-marit				
to'adaŋ	533.0	wers1238-marit				
bisar 'maŋar	534.0	wers1238-marit				
'hɔtba	535.0	wers1238-marit				
'kɔrban	536.0	wers1238-marit				
a'ram	537.0	wers1238-marit				
saku i'dɛm	538.0	wers1238-marit				
'prɛn	539.0	wers1238-marit				
'sump	540.0	wers1238-marit				
mei li'mi	541.0	wers1238-marit				
ne'nɔŋ	542.0	wers1238-marit				
'lur	543.0	wers1238-marit				
lɛri	544.0	wers1238-marit				
aniŋ tə'pa	545.0	wers1238-marit				
tu'sur	546.0	wers1238-marit				
gə'sui	547.0	wers1238-marit				
'moriŋ tə'kɛŋ	548.0	wers1238-marit				
'hakim	549.0	wers1238-marit				
'sal	550.0	wers1238-marit				
gaite'bɛl	551.0	wers1238-marit				
gaite'bɛl 'nanu	552.0	wers1238-marit				
gə'pai 'gapaŋ	553.0	wers1238-marit				
tə'pek	554.0	wers1238-marit				
gə'tɛŋ tu'ki	555.0	wers1238-marit				
'jal	556.0	wers1238-marit				
jo 'nauna	557.0	wers1238-marit				
netə'dɔr	558.0	wers1238-marit				
tə'nɛŋ tə'pɛsi	559.0	wers1238-marit				
'miskin	560.0	wers1238-marit				
kə'was	561.0	wers1238-marit				
'sɛŋ	562.0	wers1238-marit				
'basar	563.0	wers1238-marit				
'gali	564.0	wers1238-marit				
ge'wɛŋ	565.0	wers1238-marit				
'muri	566.0	wers1238-marit				
'dagaŋ	567.0	wers1238-marit				
gali 'bal	568.0	wers1238-marit				
gali gə'taiŋ	569.0	wers1238-marit				
'wiŋ	570.0	wers1238-marit				
gə'taiŋ	571.0	wers1238-marit				
tad a'to:	572.0	wers1238-marit				
'lomu	573.0	wers1238-marit				
ne'taiŋ	574.0	wers1238-marit				
gə'bɔk	575.0	wers1238-marit				
gə'pasiŋ	576.0	wers1238-marit				
'mauler	577.0	wers1238-marit				
le 'bisar	578.0	wers1238-marit				
le'makad	579.0	wers1238-marit				
gəte'nar	580.0	wers1238-marit				
sus 'nauŋ	581.0	wers1238-marit				
'sus	582.0	wers1238-marit				
'lai	583.0	wers1238-marit				
'inɔ	584.0	wers1238-marit				
'wɔdo	585.0	wers1238-marit				
tə'rɛsi	586.0	wers1238-marit				
di'kiŋ	587.0	wers1238-marit				
kiki'lau	588.0	wers1238-marit				
s'ripiŋ	589.0	wers1238-marit				
lə'mukul	590.0	wers1238-marit				
'ajaŋ	591.0	wers1238-marit				
'tuk	592.0	wers1238-marit				
i'jut	593.0	wers1238-marit				
