Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
196.0	mamb1306	'hinɛ	wife	Mambai	Austronesian	4Timor, 2Central		ˈh i n ɛ	7311.0			
197.0	mamb1306	'ʔina	mother	Mambai	Austronesian	4Timor, 2Central		ˈʔ i n a -	495.0			
198.0	mamb1306	'ʔama	father	Mambai	Austronesian	4Timor, 2Central		ˈʔ a m a - - -	5985.0			
199.0	mamb1306	bou (m)	older sibling	Mambai	Austronesian	4Timor, 2Central		b o - u -	2768.0			
199.0	mamb1306	ka:	older sibling	Mambai	Austronesian	4Timor, 2Central		k aː - - - -	7526.0			
200.0	mamb1306	'ʔɑli	younger sibling	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɑ l i	4395.0			
202.0	mamb1306	'ʔata	slave	Mambai	Austronesian	4Timor, 2Central		ˈʔ a t a - -	5017.0			
203.0	mamb1306	'ʔau	1sg	Mambai	Austronesian	4Timor, 2Central		- - ˈʔ a u	9299.0			
204.0	mamb1306	'ʔɔ:	2sg (informal)	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɔː -	9676.0			
205.0	mamb1306	'ʔɔ:	2sg (polite)	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɔː	9288.0			
206.0	mamb1306	ʔu'ra	3sg	Mambai	Austronesian	4Timor, 2Central		ʔ u ˈr a	757.0			
207.0	mamb1306	ʔɑm	1pl excl	Mambai	Austronesian	4Timor, 2Central		ʔ ɑ m -	8904.0			
208.0	mamb1306	'ʔit	1pl incl	Mambai	Austronesian	4Timor, 2Central		ˈʔ i t -	175.0			
209.0	mamb1306	ʔim hai'ra:	2pl	Mambai	Austronesian	4Timor, 2Central		ʔ i m _ h a i ˈr aː	9967.0			
210.0	mamb1306	rɔm	3pl	Mambai	Austronesian	4Timor, 2Central		r ɔ m - - - - - - - - -	9747.0			
211.0	mamb1306	'tɑi 'sid	no; not	Mambai	Austronesian	4Timor, 2Central		ˈt ɑ i _ ˈs i d	6757.0			
212.0	mamb1306	'nɔr	and	Mambai	Austronesian	4Timor, 2Central		ˈn ɔ r -	123.0			
213.0	mamb1306	'lɛt	because	Mambai	Austronesian	4Timor, 2Central		ˈl ɛ t	6770.0			
213.0	mamb1306	des	because	Mambai	Austronesian	4Timor, 2Central		d e s	6769.0			
214.0	mamb1306	arpila	if	Mambai	Austronesian	4Timor, 2Central	'future'; 'past'	a r p i l a	6742.0			
214.0	mamb1306	ɑr'pil	if	Mambai	Austronesian	4Timor, 2Central	'future'; 'past'	ɑ r ˈp i l -	6742.0			
215.0	mamb1306	'nɔr	with	Mambai	Austronesian	4Timor, 2Central		ˈn ɔ r -	73.0			
216.0	mamb1306	sɑ'pid	what?	Mambai	Austronesian	4Timor, 2Central		s ɑ ˈp - i d -	6654.0			
217.0	mamb1306	'sɛn	who?	Mambai	Austronesian	4Timor, 2Central		ˈs ɛ n - -	6727.0			
219.0	mamb1306	'ɑrpil	when?	Mambai	Austronesian	4Timor, 2Central		( - ˈɑ r - - ) - p i - - l -	220.0			
220.0	mamb1306	'dɛs sɑ'pid	why?	Mambai	Austronesian	4Timor, 2Central		ˈd ɛ s - _ s ɑ ˈp i d	6574.0			
221.0	mamb1306	'pil	how much; how many?	Mambai	Austronesian	4Timor, 2Central		ˈp i l -	129.0			
222.0	mamb1306	mɛm'bɑe	how?	Mambai	Austronesian	4Timor, 2Central		m ɛ m ˈb ɑ e	6711.0			
223.0	mamb1306	ɑ'rɑi	this	Mambai	Austronesian	4Timor, 2Central		- ɑ ˈr ɑ - i	6733.0			
224.0	mamb1306	la'ra	that	Mambai	Austronesian	4Timor, 2Central		l a ˈr a	6714.0			
225.0	mamb1306	'hɛr	at	Mambai	Austronesian	4Timor, 2Central	in/at; at home; in school	ˈh ɛ r - - -	6732.0			
225.0	mamb1306	her um	at	Mambai	Austronesian	4Timor, 2Central	in/at; at home; in school	h e r _ u m	6732.0			
226.0	mamb1306	'hɛr 'pɑsta 'lala	in; inside	Mambai	Austronesian	4Timor, 2Central	inside the bag	ˈh ɛ - r _ ˈp ɑ s t a _ ˈl a l a -	6582.0			
227.0	mamb1306	'nei 'rɑi	here	Mambai	Austronesian	4Timor, 2Central		ˈn e i _ ˈr ɑ i	6728.0			
228.0	mamb1306	'hɛr la'ra:	there	Mambai	Austronesian	4Timor, 2Central		ˈh ɛ r _ l a ˈr aː	6477.0			
229.0	mamb1306	'hɛr 'tɛtɛ	above	Mambai	Austronesian	4Timor, 2Central		ˈh ɛ r _ ˈt ɛ t - ɛ	1199.0			
230.0	mamb1306	'hɛr 'suɑ	below	Mambai	Austronesian	4Timor, 2Central		ˈh ɛ r - _ ˈs u - ɑ -	6443.0			
231.0	mamb1306	'hɛr la'toi	left (side)	Mambai	Austronesian	4Timor, 2Central		ˈh ɛ r _ l a ˈt o i	6719.0			
232.0	mamb1306	'hɛr la'huru	right (side)	Mambai	Austronesian	4Timor, 2Central		ˈh ɛ r _ l a ˈh u r u	6516.0			
233.0	mamb1306	'kɑt 'kane	a few	Mambai	Austronesian	4Timor, 2Central		ˈk ɑ t _ ˈk a n e	6735.0			
234.0	mamb1306	hai'ra	all	Mambai	Austronesian	4Timor, 2Central		h a i ˈr a	6720.0			
235.0	mamb1306	'niri	many	Mambai	Austronesian	4Timor, 2Central		ˈn i - r i	6602.0			
236.0	mamb1306	x	animal	Mambai	Austronesian	4Timor, 2Central		x	6762.0			
238.0	mamb1306	'ʔa:s	dog	Mambai	Austronesian	4Timor, 2Central		ˈʔ aː s -	209.0			
249.0	mamb1306	'io	tail	Mambai	Austronesian	4Timor, 2Central		ˈi - o	6764.0			
249.0	mamb1306	jo	tail	Mambai	Austronesian	4Timor, 2Central		j o	6765.0			
250.0	mamb1306	'ʔika	fish	Mambai	Austronesian	4Timor, 2Central		ˈʔ i k a -	28.0			
259.0	mamb1306	'man	bird	Mambai	Austronesian	4Timor, 2Central		ˈm a n -	6533.0			
259.0	mamb1306	man hui	bird	Mambai	Austronesian	4Timor, 2Central		m a n - _ - h u - i -	6533.0			
260.0	mamb1306	'lila	wing	Mambai	Austronesian	4Timor, 2Central		ˈl i l - - a -	6641.0			
261.0	mamb1306	'kmat	claw	Mambai	Austronesian	4Timor, 2Central		ˈk m a t	6726.0			
262.0	mamb1306	'hulu	feather	Mambai	Austronesian	4Timor, 2Central		ˈh u l u -	68.0			
263.0	mamb1306	'diu	horn	Mambai	Austronesian	4Timor, 2Central		ˈd i u	6744.0			
264.0	mamb1306	hlot	snake	Mambai	Austronesian	4Timor, 2Central		h l o t	6778.0			
264.0	mamb1306	so'hɑi	snake	Mambai	Austronesian	4Timor, 2Central		s o ˈh ɑ i	6481.0			
266.0	mamb1306	'tɛlo	egg	Mambai	Austronesian	4Timor, 2Central		- - - ˈt ɛ l o -	242.0			
267.0	mamb1306	ku'kɛr	earthworm	Mambai	Austronesian	4Timor, 2Central		k u ˈk ɛ r	6763.0			
275.0	mamb1306	'ʔut	headlice	Mambai	Austronesian	4Timor, 2Central		ˈʔ u t - -	6316.0			
281.0	mamb1306	'tu:	big	Mambai	Austronesian	4Timor, 2Central		- - ˈt uː -	947.0			
