Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
116.0	adon1237	ˈtuak	lontar palm	Lamaholot-Adonara	Austronesian	7Adonara		ˈt u a k - - - - -	2315			
117.0	adon1237	ˈpolaʔ	sugar palm	Lamaholot-Adonara	Austronesian	7Adonara		ˈp o l a ʔ	9363			
118.0	adon1237	ˈmotõ	marungga	Lamaholot-Adonara	Austronesian	7Adonara			2			
119.0	adon1237	x	gum tree; eucalyptus	Lamaholot-Adonara	Austronesian	7Adonara		x	9323			
120.0	adon1237	pɜˈrĩ	bamboo	Lamaholot-Adonara	Austronesian	7Adonara			2			
121.0	adon1237	ˈmuko	banana	Lamaholot-Adonara	Austronesian	7Adonara		ˈm u k o - - -	7647			
122.0	adon1237	ˈpau	mango	Lamaholot-Adonara	Austronesian	7Adonara		- - ˈp a u -	2123			
123.0	adon1237	paˈjã	papaya	Lamaholot-Adonara	Austronesian	7Adonara			m			
124.0	adon1237	ˈkwɛrak	jackfruit	Lamaholot-Adonara	Austronesian	7Adonara		ˈkw - - ɛ r a - k	2277			
125.0	adon1237	tuˈnũ	breadfruit	Lamaholot-Adonara	Austronesian	7Adonara			o			
126.0	adon1237	ˈʔutã	bean	Lamaholot-Adonara	Austronesian	7Adonara			6			
127.0	adon1237	waˈneʔ	honey	Lamaholot-Adonara	Austronesian	7Adonara		- - - - - w a ˈn e ʔ	2393			
128.0	adon1237	ˈtuhɔ	milk	Lamaholot-Adonara	Austronesian	7Adonara	not 'breast'	ˈt u h ɔ -	4458			
129.0	adon1237	ˈsiʔa	salt	Lamaholot-Adonara	Austronesian	7Adonara		ˈs - i ʔ a -	785			
130.0	adon1237	ˈkahare	fat	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a h a r e	9378			
131.0	adon1237	ˈʔumɜ̃	flesh; meat	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ u m ɜ̃	3703			
132.0	adon1237	ˈriʔũː	bone	Lamaholot-Adonara	Austronesian	7Adonara			m			
133.0	adon1237	kɜˈnawaˈne	rib	Lamaholot-Adonara	Austronesian	7Adonara	suffix ne 3sg, um 1sg	k ɜ ˈn a w a ˈn e	3941			
134.0	adon1237	ˈʔɜwũ	sweat	Lamaholot-Adonara	Austronesian	7Adonara			m			
135.0	adon1237	ˈlõː	tear	Lamaholot-Adonara	Austronesian	7Adonara	nasal vowel 3sɡ, suffix um 1sɡ		m			
136.0	adon1237	mei	blood	Lamaholot-Adonara	Austronesian	7Adonara		m e i	8811			
138.0	adon1237	ˈpuho	heart	Lamaholot-Adonara	Austronesian	7Adonara		ˈp u h o	9379			
139.0	adon1237	ˈmehi	liver	Lamaholot-Adonara	Austronesian	7Adonara		ˈm e h i	9397			
140.0	adon1237	ˈwuak	kidney	Lamaholot-Adonara	Austronesian	7Adonara		ˈw u a k - -	8939			
141.0	adon1237	kɜˈbotĩ	guts	Lamaholot-Adonara	Austronesian	7Adonara			s			
142.0	adon1237	tae	excrement	Lamaholot-Adonara	Austronesian	7Adonara		t a e	8630			
143.0	adon1237	ˈwurhã	lungs	Lamaholot-Adonara	Austronesian	7Adonara	nasal vowel 3sɡ, suffix um 1sɡ		n			
144.0	adon1237	taĩ, taim	stomach; belly	Lamaholot-Adonara	Austronesian	7Adonara	suffix m 2sg					
145.0	adon1237	ˈkotɜk, kotɜm	head	Lamaholot-Adonara	Austronesian	7Adonara	suffix k 1sɡ, suffix m 2sg	ˈk o t ɜ k	8832			
146.0	adon1237	ˈrataʔ	hair	Lamaholot-Adonara	Austronesian	7Adonara		ˈr a t a ʔ	8731			
147.0	adon1237	ˈrawuˈkɜt	body hair	Lamaholot-Adonara	Austronesian	7Adonara	suffix kɜt 1pl.incl, suffix kɜm 2sg	ˈr a w u ˈk ɜ t	6913			
148.0	adon1237	ˈmatak, matak3t	eye	Lamaholot-Adonara	Austronesian	7Adonara		ˈm a t a k	8533			
149.0	adon1237	ˈtiluˈk3t	ear	Lamaholot-Adonara	Austronesian	7Adonara		ˈt i l u ˈk 3 t	8737			
150.0	adon1237	ˈiruˈn3t	nose	Lamaholot-Adonara	Austronesian	7Adonara		ˈi r u ˈn 3 t	8876			
151.0	adon1237	ˈw3waˈk3t	mouth	Lamaholot-Adonara	Austronesian	7Adonara		ˈw 3 w a ˈk 3 t	8664			
152.0	adon1237	ˈsaroˈn3t	chin	Lamaholot-Adonara	Austronesian	7Adonara		ˈs a r o ˈn 3 t	9355			
153.0	adon1237	ˈnuhuˈk3t	lips	Lamaholot-Adonara	Austronesian	7Adonara		ˈn u h u ˈk 3 t	8645			
154.0	adon1237	ˈip3ʔ	teeth	Lamaholot-Adonara	Austronesian	7Adonara		ˈi p 3 ʔ	8908			
155.0	adon1237	ˈɜwɜˈrɜt	tongue	Lamaholot-Adonara	Austronesian	7Adonara		- ˈɜ w ɜ ˈr ɜ t	8566			
156.0	adon1237	ˈwuliˈkɜt	neck	Lamaholot-Adonara	Austronesian	7Adonara		ˈw u l i ˈk ɜ t	8573			
157.0	adon1237	ˈhanaˈnɜt	shoulder	Lamaholot-Adonara	Austronesian	7Adonara		ˈh a n a ˈn ɜ t	8726			
158.0	adon1237	ˈwɜkiˈkɜt	body	Lamaholot-Adonara	Austronesian	7Adonara		ˈw ɜ k i ˈk ɜ t	8838			
159.0	adon1237	kɜˈniːtoˈkɜt	forehead	Lamaholot-Adonara	Austronesian	7Adonara		k ɜ ˈn iː t o ˈk ɜ t	8903			
160.0	adon1237	iruˈnɜt kɜˈlɜŋũ	nostril	Lamaholot-Adonara	Austronesian	7Adonara			m			
161.0	adon1237	ˈehuˈkɜt	mucus	Lamaholot-Adonara	Austronesian	7Adonara		ˈe h u ˈk ɜ t	9356			
162.0	adon1237	ˈpipiˈkɜt	cheek	Lamaholot-Adonara	Austronesian	7Adonara		- - ˈp i p i ˈk ɜ t	8598			
163.0	adon1237	ˈlimaˈkɜt	arm	Lamaholot-Adonara	Austronesian	7Adonara		ˈl i m a ˈk ɜ t	8612			
164.0	adon1237	ˈnaiʔjũ	hand	Lamaholot-Adonara	Austronesian	7Adonara			3			
165.0	adon1237	ˈlimakɜt ˈʔonʔeʔ	palm of hand	Lamaholot-Adonara	Austronesian	7Adonara		ˈl i m a k ɜ t _ ˈʔ o n - ʔ e ʔ	8954			
166.0	adon1237	ˈlimakɜt ˈʔaːnʔa	finger	Lamaholot-Adonara	Austronesian	7Adonara		ˈl i m a k ɜ t _ ˈʔ aː n ʔ a -	8615			
167.0	adon1237	kɜˈmukurɜt	fingernail	Lamaholot-Adonara	Austronesian	7Adonara		k ɜ ˈm u k u r ɜ t	9304			
168.0	adon1237	ˈtuho	breast	Lamaholot-Adonara	Austronesian	7Adonara		ˈt u h o	4580			
169.0	adon1237	ˈobaˈkɜt	chest	Lamaholot-Adonara	Austronesian	7Adonara		ˈo b a ˈk ɜ t	9329			
170.0	adon1237	kɜˈpuhuˈrɜt	navel	Lamaholot-Adonara	Austronesian	7Adonara		k ɜ ˈp u h u ˈr ɜ t	3407			
