ID,Form_ID,Cognateset_ID,Alignment,Source
558,558,2458,ʔ a t a ŋ - - - u h u ŋ,LexStat
559,559,890,- - t o ʔ -,LexStat
560,560,4766,ʔ a p oj ʔ ɛ ŋ,LexStat
561,561,4078,n ɛ ʔ ɛ w -,LexStat
562,562,2792,ʔ ɛ ʔ a h a ŋ,LexStat
563,563,3422,ʔ ɛ w a d a,LexStat
564,564,6426,ʔ ɛ ʔ u m,LexStat
565,565,3898,ʔ e w u d u,LexStat
566,566,3907,ʔ ɛ p ɛ l i n i,LexStat
567,567,429,ʔ h a ŋ m ai,LexStat
568,568,6261,- - - ʔ ui - - -,LexStat
569,569,6490,b a m e d,LexStat
570,570,5592,- o t - - - - - -,LexStat
571,571,5936,- a t,LexStat
572,572,7264,p a l a ŋ -,LexStat
573,573,2368,t a s oʔo -,LexStat
574,574,1405,h uː ʔ,LexStat
575,575,5240,- n aː - m - - i -,LexStat
576,576,4736,- ʔ a n i ŋ -,LexStat
577,577,1189,ʔ ei,LexStat
578,578,4356,l o t - - - - i,LexStat
579,579,10652,o b o ʔ,LexStat
580,580,3693,n o l o t i,LexStat
581,581,10549,n oʔo - - b o ʔ,LexStat
582,582,4608,n i w - - i,LexStat
583,583,2297,n i m i ŋ - -,LexStat
584,584,5095,n o ʔ u d i ŋ ʔ o b o,LexStat
585,585,10867,n o ʔ u d i ŋ l o t i,LexStat
586,586,910,h a d a,LexStat
587,587,1874,b ɛ l,LexStat
588,588,5256,b i - - -,LexStat
589,589,1140,h i - u,LexStat
590,590,5383,d uː l - -,LexStat
591,591,4201,t e - k - o -,LexStat
592,592,1232,- a l u m a n ɛ m ɛ,LexStat
593,593,1766,aː l u - - -,LexStat
594,594,1657,aː m u,LexStat
595,595,6843,- o l o ʔ,LexStat
596,596,2543,- aː b - -,LexStat
597,597,10394,- - - p e r u n s a h,LexStat
598,598,10401,u s a h a,LexStat
599,599,1892,p e r u n s a h,LexStat
600,600,1885,u s a h - - - a -,LexStat
601,601,1605,b aʔa - - - i,LexStat
602,602,4531,ʔ a l ɛ h ɛ ʔ,LexStat
603,603,700,h i u w a l ɛ w ɛ ŋ,LexStat
604,604,10609,a w i t i ŋ,LexStat
605,605,1262,h ɛ t ɛ,LexStat
606,606,2333,h i u w - - - - o l o,LexStat
607,607,2333,h i u w o l o f o l o,LexStat
608,608,3554,ʔ a m uʔu - -,LexStat
609,609,6397,m o - n -,LexStat
