ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
89,kabo1247,cassava,benkow,b e n k o w,,datasets_Kabola_Monbang_tsv
90,kabo1247,taro,mol,m o l,(minimal pair with ‘river’??),datasets_Kabola_Monbang_tsv
91,kabo1247,sugarcane,ʤob,dʒ o b,,datasets_Kabola_Monbang_tsv
92,kabo1247,corn_maize,botiʔ,b o t i ʔ,,datasets_Kabola_Monbang_tsv
93,kabo1247,cooked_corn,boti̥ kawal,b o t i̥ _ k a w a l,,datasets_Kabola_Monbang_tsv
94,kabo1247,coconut,waʔ,w a ʔ,,datasets_Kabola_Monbang_tsv
95,kabo1247,gebang_palm,ol kuil,o l _ k u i l,,datasets_Kabola_Monbang_tsv
96,kabo1247,lontar_palm,haʔai,h a ʔ a i,,datasets_Kabola_Monbang_tsv
97,kabo1247,sugar_palm,now,n o w,,datasets_Kabola_Monbang_tsv
98,kabo1247,marungga,motoŋ behe,m o t o ŋ _ b e h e,,datasets_Kabola_Monbang_tsv
99,kabo1247,gum_tree,puʔ,p u ʔ,,datasets_Kabola_Monbang_tsv
100,kabo1247,bamboo,peteŋ,p e t e ŋ,,datasets_Kabola_Monbang_tsv
101,kabo1247,banana,moʔoi,m o ʔ o i,,datasets_Kabola_Monbang_tsv
102,kabo1247,mango,beʔ,b e ʔ,,datasets_Kabola_Monbang_tsv
103,kabo1247,papaya,takele,t a k e l e,,datasets_Kabola_Monbang_tsv
104,kabo1247,jackfruit,toŋ,t o ŋ,,datasets_Kabola_Monbang_tsv
105,kabo1247,breadfruit,toŋ bal,t o ŋ _ b a l,,datasets_Kabola_Monbang_tsv
106,kabo1247,bean,(h)utu,u t u,,datasets_Kabola_Monbang_tsv
107,kabo1247,bean,(h)utu,u t u,,datasets_Kabola_Monbang_tsv
108,kabo1247,honey,maʔai,m a ʔ a i,,datasets_Kabola_Monbang_tsv
109,kabo1247,milk,tɔʔ,t ɔ ʔ,"(cf., oto ‘breast’); not 'breast'",datasets_Kabola_Monbang_tsv
110,kabo1247,salt,taŋ,t a ŋ,(also ‘sea’),datasets_Kabola_Monbang_tsv
111,kabo1247,fat,ta'mara,t a m a r a,,datasets_Kabola_Monbang_tsv
112,kabo1247,bone,tlopoʔ,t l o p o ʔ,,datasets_Kabola_Monbang_tsv
113,kabo1247,rib,keneme,k e n e m e,,datasets_Kabola_Monbang_tsv
114,kabo1247,sweat,latutoŋ (sele),l a t u t o ŋ,,datasets_Kabola_Monbang_tsv
115,kabo1247,sweat,latutoŋ (sele),l a t u t o ŋ _ s e l e,,datasets_Kabola_Monbang_tsv
116,kabo1247,tear,teŋ nui,t e ŋ _ n u i,(teŋ ‘eye’),datasets_Kabola_Monbang_tsv
117,kabo1247,blood,u̥'wi,u̥ w i,,datasets_Kabola_Monbang_tsv
118,kabo1247,heart,de'mulu,d e m u l u,,datasets_Kabola_Monbang_tsv
119,kabo1247,liver,ʔom atoʔo,ʔ o m _ a t o ʔ o,(ʔom ‘inside’),datasets_Kabola_Monbang_tsv
120,kabo1247,guts,atoʔo kenewe,a t o ʔ o _ k e n e w e,"(lit., ‘stomach small’)",datasets_Kabola_Monbang_tsv
121,kabo1247,excrement,ahaʔ,a h a ʔ,,datasets_Kabola_Monbang_tsv
122,kabo1247,lungs,owaʔ kʊri,o w a ʔ _ k ʊ r i,,datasets_Kabola_Monbang_tsv
123,kabo1247,stomach_belly,atoʔo,a t o ʔ o,,datasets_Kabola_Monbang_tsv
124,kabo1247,head,lo:ŋ,l oː ŋ,,datasets_Kabola_Monbang_tsv
125,kabo1247,hair,loŋ kəriʔi kenewe,l o ŋ _ k ə r i ʔ i _ k e n e w e,(? kenewe ‘small’),datasets_Kabola_Monbang_tsv
126,kabo1247,body_hair,o'muru,o m u r u,,datasets_Kabola_Monbang_tsv
127,kabo1247,eye,teŋ,t e ŋ,,datasets_Kabola_Monbang_tsv
128,kabo1247,ear,awel,a w e l,,datasets_Kabola_Monbang_tsv
129,kabo1247,nose,tomboj,t o m b o j,,datasets_Kabola_Monbang_tsv
130,kabo1247,mouth,tata,t a t a,,datasets_Kabola_Monbang_tsv
131,kabo1247,chin,harawa'ha,h a r a w a h a,,datasets_Kabola_Monbang_tsv
132,kabo1247,lips,omi taporo,o m i _ t a p o r o,,datasets_Kabola_Monbang_tsv
133,kabo1247,teeth,tawehẽ(ŋ),t a w e h ẽ,,datasets_Kabola_Monbang_tsv
134,kabo1247,teeth,tawehẽ(ŋ),t a w e h ẽ,,datasets_Kabola_Monbang_tsv
